Interval=	0.0025 s
ExcelDateTime=	4.4621650142538019e+004	3/1/2022 15:36:12.315285
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	200.0 µV
3.68	23.9
3.6825	26.9
3.685	25.9
3.6875	21.5
3.69	18.3
3.6925	21.3
3.695	25.6
3.6975	30.1
3.7	32.8
3.7025	29.4
3.705	25.6
3.7075	24.9
3.71	26.9
3.7125	31.3
3.715	33.4
3.7175	32.6
3.72	30.6
3.7225	26.0
3.725	22.1
3.7275	21.1
3.73	22.4
3.7325	25.0
3.735	25.2
3.7375	22.4
3.74	20.3
3.7425	20.5
3.745	23.2
3.7475	31.2
3.75	35.3
3.7525	29.9
3.755	24.7
3.7575	24.0
3.76	25.8
3.7625	30.2
3.765	34.7
3.7675	35.7
3.77	32.1
3.7725	27.3
3.775	26.9
3.7775	28.3
3.78	28.3
3.7825	31.3
3.785	35.8
3.7875	34.7
3.79	30.8
3.7925	27.6
3.795	28.7
3.7975	32.1
3.8	30.3
3.8025	27.8
3.805	25.4
3.8075	24.0
3.81	26.7
3.8125	30.4
